Invoice/Item Number,Date,Volume Sold (Liters),Volume Sold (Gallons)
INV-00030900212,08/30/2016,0.75,0.19
INV-00030900225,08/30/2016,0.5,0.13
INV-00030900226,08/30/2016,1,0.26
INV-00030900260,08/30/2016,1.75,0.46
INV-00039600012,08/30/2016,0.75,0.19
INV-00039600014,08/30/2016,0.75,0.19
INV-00039600029,08/30/2016,4.5,1.18
INV-00039600034,08/30/2016,3,0.79
INV-00039800058,08/30/2016,0.75,0.19
INV-00039800067,08/30/2016,2.25,0.59
INV-00039800068,08/30/2016,0.75,0.19
INV-00039800069,08/30/2016,1.5,0.39
INV-00039800127,08/30/2016,2.25,0.59
INV-00039800140,08/30/2016,2.25,0.59
INV-00039800141,08/30/2016,2.25,0.59
INV-00039800142,08/30/2016,2.25,0.59
INV-00039800165,08/30/2016,0.5,0.13
INV-00039800197,08/30/2016,0.5,0.13
INV-00039800200,08/30/2016,0.5,0.13
INV-00039900003,08/30/2016,3,0.79
INV-00040100054,08/30/2016,0.75,0.19
INV-00040100064,08/30/2016,1.5,0.39
INV-00040100082,08/30/2016,0.75,0.19
INV-00040100087,08/30/2016,1.5,0.39
INV-00040100088,08/30/2016,1.5,0.39
INV-00040200001,08/30/2016,2.25,0.59
INV-00040200013,08/30/2016,0.75,0.19
INV-00040300021,08/30/2016,1.5,0.39
INV-00040300022,08/30/2016,1.5,0.39
INV-00040400029,08/30/2016,0.5,0.13
INV-00044000030,08/30/2016,2.25,0.59
INV-00044000033,08/30/2016,2.25,0.59
INV-00044000039,08/30/2016,1,0.26
INV-00044200019,08/30/2016,1.12,0.29
INV-00044400015,08/30/2016,1.5,0.39
INV-00044600011,08/30/2016,0.75,0.19
INV-00044700019,08/30/2016,2.25,0.59
INV-00044800013,08/30/2016,0.5,0.13
INV-00045300033,08/30/2016,1.75,0.46
INV-00064600016,08/31/2016,0.75,0.19
INV-00065200015,08/31/2016,1.75,0.46
INV-00065200021,08/31/2016,0.75,0.19
INV-00065400005,08/31/2016,0.75,0.19
INV-00065400010,08/31/2016,1.5,0.39
INV-00065400011,08/31/2016,2.25,0.59
INV-00065400012,08/31/2016,3.5,0.92
INV-00065400013,08/31/2016,1.5,0.39
INV-00065400014,08/31/2016,2.25,0.59
INV-00065400015,08/31/2016,3,0.79
INV-00065400016,08/31/2016,3,0.79
INV-00065400036,08/31/2016,3,0.79
INV-00065400038,08/31/2016,1.75,0.46
INV-00065400039,08/31/2016,3,0.79
INV-00065400040,08/31/2016,1.5,0.39
INV-00065400041,08/31/2016,3,0.79
INV-00065400056,08/31/2016,1.5,0.39
INV-00065400107,08/31/2016,1,0.26
INV-00065800041,08/31/2016,3,0.79
INV-00065800046,08/31/2016,2,0.52
INV-00065800093,08/31/2016,0.75,0.19
INV-00066200020,08/31/2016,0.75,0.19
INV-00066200061,08/31/2016,1.75,0.46
INV-00066200064,08/31/2016,0.75,0.19
INV-00066200106,08/31/2016,1,0.26
INV-00066200127,08/31/2016,1.5,0.39
INV-00069800016,08/31/2016,0.75,0.19
INV-00070100042,08/31/2016,1.5,0.39
INV-00070900013,08/31/2016,1,0.26
INV-00071100034,08/31/2016,3,0.79
INV-00071100035,08/31/2016,3,0.79
INV-00071100043,08/31/2016,2.25,0.59
INV-00071300119,08/31/2016,0.75,0.19
INV-00071300120,08/31/2016,1,0.26
INV-00071300126,08/31/2016,0.75,0.19
INV-00071300132,08/31/2016,2.25,0.59
INV-00071300160,08/31/2016,1.12,0.29
INV-00071400039,08/31/2016,1.5,0.39
INV-00071400050,08/31/2016,2.25,0.59
INV-00071500022,08/31/2016,4.5,1.18
INV-00071500030,08/31/2016,3,0.79
INV-00072100029,08/31/2016,0.37,0.09
INV-00072100033,08/31/2016,1.5,0.39
INV-00072100034,08/31/2016,0.75,0.19
INV-00072400017,08/31/2016,1,0.26
INV-00072400053,08/31/2016,0.75,0.19
INV-00072400073,08/31/2016,1.5,0.39
INV-00072400079,08/31/2016,2.25,0.59
INV-00074500036,08/31/2016,0.75,0.19
INV-00074100019,08/31/2016,1.5,0.39
INV-00074400016,08/31/2016,0.37,0.09
INV-00074400056,08/31/2016,0.75,0.19
INV-00074500033,08/31/2016,1.75,0.46
INV-00074500064,08/31/2016,3.5,0.92
INV-00074500065,08/31/2016,1.5,0.39
INV-00074500067,08/31/2016,0.75,0.19
INV-00074500096,08/31/2016,1,0.26
INV-00074500100,08/31/2016,0.75,0.19
INV-00074700042,08/31/2016,0.5,0.13
INV-00074900029,08/31/2016,0.75,0.19
INV-00074900030,08/31/2016,6,1.58
INV-00075700042,08/31/2016,1.5,0.39
INV-00075700043,08/31/2016,1.5,0.39
INV-00075700044,08/31/2016,0.75,0.19
INV-00075700052,08/31/2016,1.5,0.39
INV-00075700067,08/31/2016,0.75,0.19
INV-00075700068,08/31/2016,0.37,0.09
S33570500003,08/01/2016,9,2.38
S33570500004,08/01/2016,9,2.38
S33570500007,08/01/2016,9,2.38
S33570500011,08/01/2016,10.5,2.77
S33570500021,08/01/2016,9,2.38
S33652600003,08/04/2016,12,3.17
S33652600044,08/04/2016,12,3.17
S33652600047,08/04/2016,12,3.17
S33652600059,08/04/2016,12,3.17
S33652600070,08/04/2016,9,2.38
S33652700001,08/01/2016,48,12.68
S33652700017,08/01/2016,144,38.04
S33652700029,08/01/2016,12,3.17
S33652700041,08/01/2016,9,2.38
S33652800002,08/02/2016,60,15.85
S33652800017,08/02/2016,9,2.38
S33652800026,08/02/2016,12,3.17
S33652800037,08/02/2016,144,38.04
S33652800051,08/02/2016,10.5,2.77
S33652800059,08/02/2016,9,2.38
S33652800064,08/02/2016,12,3.17
S33652800073,08/02/2016,12,3.17
S33652800089,08/02/2016,12,3.17
S33658000023,08/01/2016,9,2.38
S33658000024,08/01/2016,9,2.38
S33660200002,08/02/2016,9,2.38
S33660200003,08/02/2016,9,2.38
S33660200030,08/02/2016,0.6,0.16
S33660200031,08/02/2016,0.75,0.2
S33660200032,08/02/2016,1.5,0.4
S33660200033,08/02/2016,0.6,0.16
S33660200034,08/02/2016,0.75,0.2
S33660200035,08/02/2016,0.4,0.11
S33660200036,08/02/2016,0.75,0.2
S33660200037,08/02/2016,2.25,0.59
S33660200046,08/02/2016,0.38,0.1
S33660200047,08/02/2016,1.5,0.4
S33660200048,08/02/2016,1.5,0.4
S33660200049,08/02/2016,0.38,0.1
S33660200081,08/02/2016,1.5,0.4
S33660200092,08/02/2016,0.5,0.13
S33660200108,08/02/2016,2.25,0.59
S33660600003,08/01/2016,6,1.59
S33661600005,08/01/2016,9,2.38
S33661600006,08/01/2016,9,2.38
S33661600007,08/01/2016,9,2.38
S33661600008,08/01/2016,0.6,0.16
S33661600009,08/01/2016,0.5,0.13
S33661600011,08/01/2016,0.5,0.13
S33661600089,08/01/2016,2.25,0.59
S33661600090,08/01/2016,4,1.06
S33661600094,08/01/2016,4,1.06
S33661600109,08/01/2016,3.5,0.92
S33661600110,08/01/2016,3,0.79
S33662000003,08/02/2016,9,2.38
S33662500012,08/03/2016,9,2.38
S33662500014,08/03/2016,9,2.38
S33662500017,08/03/2016,9,2.38
S33662500030,08/03/2016,9,2.38
S33662500031,08/03/2016,9,2.38
S33662500038,08/03/2016,9,2.38
S33662500039,08/03/2016,9,2.38
S33662500040,08/03/2016,9,2.38
S33662500041,08/03/2016,9,2.38
S33663200001,08/01/2016,3,0.79
S33663200005,08/01/2016,0.5,0.13
S33663700095,08/01/2016,1.5,0.4
S33663700096,08/01/2016,0.2,0.05
S33663700097,08/01/2016,0.75,0.2
S33663700098,08/01/2016,0.75,0.2
S33663700099,08/01/2016,9,2.38
S33663700100,08/01/2016,0.6,0.16
S33663700101,08/01/2016,1.5,0.4
S33663700102,08/01/2016,9,2.38
S33663700103,08/01/2016,9,2.38
S33663700104,08/01/2016,0.75,0.2
S33663700105,08/01/2016,0.75,0.2
S33663700106,08/01/2016,1.5,0.4
S33663700107,08/01/2016,1.5,0.4
S33663700108,08/01/2016,1.5,0.4
S33663700109,08/01/2016,10.5,2.77
S33663700110,08/01/2016,9,2.38
S33663700111,08/01/2016,0.5,0.13
S33663700112,08/01/2016,1.5,0.4
S33663700113,08/01/2016,0.75,0.2
S33663700114,08/01/2016,1.5,0.4
S33663700115,08/01/2016,0.75,0.2
S33663700118,08/01/2016,10.5,2.77
S33663700120,08/01/2016,18,4.76
S33663700121,08/01/2016,9,2.38
S33663700123,08/01/2016,27,7.13
S33663700125,08/01/2016,45,11.89
S33663700126,08/01/2016,18,4.76
S33663700132,08/01/2016,54,14.27
S33663700133,08/01/2016,1.5,0.4
S33663700134,08/01/2016,1.5,0.4
S33663700137,08/01/2016,9,2.38
S33663700138,08/01/2016,9,2.38
S33663700139,08/01/2016,9,2.38
S33663700187,08/01/2016,0.75,0.2
S33663700188,08/01/2016,0.38,0.1
S33663700189,08/01/2016,9,2.38
S33663700198,08/01/2016,9,2.38
S33663700204,08/01/2016,0.75,0.2
S33663700206,08/01/2016,1.5,0.4
S33663700207,08/01/2016,3,0.79
S33663700215,08/01/2016,4.5,1.19
S33663700216,08/01/2016,1.5,0.4
S33664000010,08/02/2016,2.25,0.59
S33664100021,08/01/2016,9,2.38
S33664100038,08/01/2016,9,2.38
S33664100040,08/01/2016,2.25,0.59
S33664100043,08/01/2016,1.5,0.4
S33664200079,08/01/2016,2.25,0.59
S33664200080,08/01/2016,2.25,0.59
S33664200081,08/01/2016,1.5,0.4
S33664200082,08/01/2016,1.5,0.4
S33664200084,08/01/2016,10.5,2.77
S33664200085,08/01/2016,1.5,0.4
S33664200087,08/01/2016,0.5,0.13
S33664200088,08/01/2016,9,2.38
S33664200093,08/01/2016,1.5,0.4
S33664200095,08/01/2016,1.5,0.4
S33664200096,08/01/2016,1.5,0.4
S33664200098,08/01/2016,2.25,0.59
S33664200127,08/01/2016,2.25,0.59
S33664200129,08/01/2016,3,0.79
S33664200132,08/01/2016,1.5,0.4
S33664200135,08/01/2016,2.25,0.59
S33664200136,08/01/2016,2.25,0.59
S33664200137,08/01/2016,2.25,0.59
S33664200138,08/01/2016,2.25,0.59
S33664200139,08/01/2016,2.25,0.59
S33664200141,08/01/2016,1.5,0.4
S33665100004,08/02/2016,9,2.38
S33665800005,08/01/2016,0.5,0.13
S33665800046,08/01/2016,0.38,0.1
S33665800069,08/01/2016,0.75,0.2
S33665800072,08/01/2016,0.75,0.2
S33665800073,08/01/2016,0.6,0.16
S33665800074,08/01/2016,0.38,0.1
S33665800089,08/01/2016,0.75,0.2
S33667400010,08/01/2016,1.5,0.4
S33667400011,08/01/2016,1.5,0.4
S33667600005,08/02/2016,0.75,0.2
S33667600006,08/02/2016,9,2.38
S33667600008,08/02/2016,9,2.38
S33667600016,08/02/2016,9,2.38
S33670300025,08/01/2016,4.5,1.19
S33670300028,08/01/2016,4.5,1.19
S33670300029,08/01/2016,4.5,1.19
S33670300036,08/01/2016,4.5,1.19
S33671200009,08/01/2016,9,2.38
S33671200011,08/01/2016,9,2.38
S33671900002,08/02/2016,9,2.38
S33672300011,08/01/2016,24,6.34
S33672300041,08/01/2016,9,2.38
S33672300051,08/01/2016,9,2.38
S33672300056,08/01/2016,12,3.17
S33672300064,08/01/2016,4.5,1.19
S33672300065,08/01/2016,2.25,0.59
S33672300066,08/01/2016,10.5,2.77
S33672300068,08/01/2016,9,2.38
S33673500013,08/01/2016,2.25,0.59
S33673500014,08/01/2016,4.5,1.19
S33673600026,08/01/2016,0.8,0.21
S33673600027,08/01/2016,9,2.38
S33673600043,08/01/2016,1.12,0.3
S33673600047,08/01/2016,2.25,0.59
S33673700006,08/01/2016,2.25,0.59
S33674400017,08/01/2016,9,2.38
S33674400037,08/01/2016,2.25,0.59
S33674400038,08/01/2016,1.5,0.4
S33674400044,08/01/2016,3.5,0.92
S33675500026,08/01/2016,1.5,0.4
S33675300012,08/01/2016,4.5,1.19
S33675300038,08/01/2016,9,2.38
S33675300042,08/01/2016,10.5,2.77
S33675300053,08/01/2016,3,0.79
S33675300056,08/01/2016,0.5,0.13
S33675300059,08/01/2016,0.5,0.13
S33675300065,08/01/2016,0.5,0.13
S33675300067,08/01/2016,0.5,0.13
S33675500016,08/01/2016,9,2.38
S33675500018,08/01/2016,9,2.38
S33678900029,08/01/2016,0.75,0.2
S33678900030,08/01/2016,0.75,0.2
S33678900032,08/01/2016,10.5,2.77
S33678900033,08/01/2016,9,2.38
S33678900037,08/01/2016,10.5,2.77
S33678900050,08/01/2016,0.75,0.2
S33678900053,08/01/2016,0.75,0.2
S33679000013,08/01/2016,9,2.38
S33682200016,08/01/2016,1.5,0.4
S33682200017,08/01/2016,0.75,0.2
S33682200044,08/01/2016,10.5,2.77
S33682200045,08/01/2016,1.5,0.4
S33684600015,08/02/2016,0.75,0.2
S33684600021,08/02/2016,0.5,0.13
S33685400022,08/01/2016,0.75,0.2
S33685400029,08/01/2016,0.5,0.13
S33685400033,08/01/2016,1.5,0.4
S33685400034,08/01/2016,1.5,0.4
S33686300006,08/02/2016,0.38,0.1
S33686300007,08/02/2016,0.38,0.1
S33689300009,08/02/2016,1.5,0.4
S33689300012,08/02/2016,9,2.38
S33689300015,08/02/2016,1.5,0.4
S33689300016,08/02/2016,1.5,0.4
S33689300017,08/02/2016,1.5,0.4
S33695600009,08/02/2016,10.5,2.77
S33695800030,08/02/2016,9.6,2.54
S33695800067,08/02/2016,3,0.79
S33695800063,08/02/2016,1.5,0.4
S33695800064,08/02/2016,1,0.26
S33695800085,08/02/2016,4.5,1.19
S33695800086,08/02/2016,2.25,0.59
S33695800095,08/02/2016,2.25,0.59
S33695800100,08/02/2016,2.25,0.59
S33696200030,08/02/2016,9,2.38
S33696200053,08/02/2016,4.5,1.19
S33696500010,08/02/2016,9,2.38
S33696500018,08/02/2016,9,2.38
S33696500019,08/02/2016,21,5.55
S33696500037,08/02/2016,9,2.38
S33696500038,08/02/2016,9,2.38
S33696500039,08/02/2016,10.5,2.77
S33697200007,08/02/2016,4.8,1.27
S33697200023,08/02/2016,1.12,0.3
S33697200026,08/02/2016,1.5,0.4
S33697600003,08/02/2016,2.25,0.59
S33698200005,08/02/2016,3,0.79
S33698200006,08/02/2016,9,2.38
S33698200008,08/02/2016,9,2.38
S33698200009,08/02/2016,9,2.38
S33698200025,08/02/2016,3,0.79
S33698200026,08/02/2016,4.5,1.19
S33698200029,08/02/2016,9,2.38
S33698200035,08/02/2016,9,2.38
S33698200036,08/02/2016,9,2.38
S33698200037,08/02/2016,9,2.38
S33698200045,08/02/2016,4.5,1.19
S33699200001,08/02/2016,1,0.26
S33699200007,08/02/2016,2.4,0.63
S33699200008,08/02/2016,2,0.53
S33699800016,08/02/2016,10.5,2.77
S33699800017,08/02/2016,10.5,2.77
S33699800041,08/02/2016,1.5,0.4
S33699800042,08/02/2016,1.5,0.4
S33699800047,08/02/2016,1.5,0.4
S33702800017,08/02/2016,0.38,0.1
S33702800022,08/02/2016,0.4,0.11
S33702800023,08/02/2016,0.75,0.2
S33702800024,08/02/2016,1.12,0.3
S33702800025,08/02/2016,0.6,0.16
S33702800026,08/02/2016,1.12,0.3
S33702800027,08/02/2016,0.75,0.2
S33704000006,08/02/2016,0.5,0.13
S33704000007,08/02/2016,9,2.38
S33704000008,08/02/2016,0.5,0.13
S33704000015,08/02/2016,2.25,0.59
S33704000025,08/02/2016,2.25,0.59
S33704100006,08/02/2016,2.25,0.59
S33704200010,08/04/2016,9,2.38
S33704200022,08/04/2016,4.5,1.19
S33704200023,08/04/2016,4.5,1.19
S33704200024,08/04/2016,4.5,1.19
S33704200026,08/04/2016,4.5,1.19
S33704200029,08/04/2016,4.5,1.19
S33704200040,08/04/2016,4.5,1.19
S33704200041,08/04/2016,4.5,1.19
S33704200042,08/04/2016,4.5,1.19
S33704400045,08/02/2016,2.25,0.59
S33704400046,08/02/2016,1.5,0.4
S33704400047,08/02/2016,1.5,0.4
S33704400048,08/02/2016,2.25,0.59
S33704400049,08/02/2016,9,2.38
S33704400050,08/02/2016,5.25,1.39
S33704400051,08/02/2016,10.5,2.77
S33704400052,08/02/2016,2.25,0.59
S33704400053,08/02/2016,9,2.38
S33704400055,08/02/2016,6,1.59
S33704400056,08/02/2016,9,2.38
S33704400060,08/02/2016,9,2.38
S33704400063,08/02/2016,0.75,0.2
S33704400064,08/02/2016,2.25,0.59
S33704400086,08/02/2016,9,2.38
S33705800002,08/02/2016,9,2.38
S33705800009,08/02/2016,27,7.13
S33706100008,08/02/2016,4.8,1.27
S33706300032,08/02/2016,1.5,0.4
S33706300033,08/02/2016,0.38,0.1
S33706300044,08/02/2016,1.5,0.4
S33706300054,08/02/2016,0.5,0.13
S33706300079,08/02/2016,0.5,0.13
S33706300080,08/02/2016,10.5,2.77
S33706300100,08/02/2016,2.25,0.59
S33706300122,08/02/2016,10.5,2.77
S33706300126,08/02/2016,1.5,0.4
S33706300127,08/02/2016,3,0.79
S33706300128,08/02/2016,2.25,0.59
S33706300129,08/02/2016,1.5,0.4
S33706300130,08/02/2016,3,0.79
S33706300131,08/02/2016,3,0.79
S33706300132,08/02/2016,2.25,0.59
S33706300133,08/02/2016,1.5,0.4
S33706300134,08/02/2016,3.75,0.99
S33706300195,08/02/2016,9,2.38
S33706300196,08/02/2016,3,0.79
S33706500018,08/03/2016,1,0.26
S33707200040,08/02/2016,0.75,0.2
S33707200041,08/02/2016,1.5,0.4
S33707200042,08/02/2016,0.75,0.2
S33707200043,08/02/2016,0.75,0.2
S33707200044,08/02/2016,0.75,0.2
S33707200045,08/02/2016,0.75,0.2
S33707200046,08/02/2016,0.75,0.2
S33707200047,08/02/2016,0.75,0.2
S33707200048,08/02/2016,0.75,0.2
S33707200053,08/02/2016,9,2.38
S33707200056,08/02/2016,0.75,0.2
S33707200058,08/02/2016,1.5,0.4
S33707200059,08/02/2016,9,2.38
S33707200074,08/02/2016,1.5,0.4
S33707300021,08/02/2016,0.5,0.13
S33707400017,08/02/2016,0.5,0.13
S33707400020,08/02/2016,1.5,0.4
S33707500012,08/02/2016,9,2.38
S33708100024,08/02/2016,1.5,0.4
S33708100025,08/02/2016,1.5,0.4
S33708100031,08/02/2016,1.75,0.46
S33708100038,08/02/2016,0.75,0.2
S33708600001,08/02/2016,1.5,0.4
S33708600008,08/02/2016,3,0.79
S33708600017,08/02/2016,3,0.79
S33708600023,08/02/2016,9,2.38
S33708600024,08/02/2016,9,2.38
S33708600025,08/02/2016,10.5,2.77
S33708600026,08/02/2016,9,2.38
S33708600027,08/02/2016,9,2.38
S33708600028,08/02/2016,9,2.38
S33708600032,08/02/2016,2.25,0.59
S33708600033,08/02/2016,3,0.79
S33708600034,08/02/2016,3.75,0.99
S33708600041,08/02/2016,1.5,0.4
S33708600064,08/02/2016,2.25,0.59
S33708600067,08/02/2016,12,3.17
S33708600124,08/02/2016,2.25,0.59
S33708600131,08/02/2016,2.25,0.59
S33708600138,08/02/2016,10.5,2.77
S33708600154,08/02/2016,3,0.79
S33708600158,08/02/2016,1.5,0.4
S33708600182,08/02/2016,3,0.79
S33708600191,08/02/2016,45,11.89
S33708600192,08/02/2016,9,2.38
S33708700001,08/02/2016,9,2.38
S33708700017,08/02/2016,9,2.38
S33708700018,08/02/2016,9,2.38
S33708700019,08/02/2016,9,2.38
S33708700021,08/02/2016,9,2.38
S33708700022,08/02/2016,9,2.38
S33708700032,08/02/2016,1.5,0.4
S33708700033,08/02/2016,1.5,0.4
S33708900002,08/02/2016,9,2.38
S33708900015,08/02/2016,1.2,0.32
S33708900016,08/02/2016,1.2,0.32
S33708900018,08/02/2016,1.5,0.4
S33708900019,08/02/2016,2.25,0.59
S33709500038,08/03/2016,3,0.79
S33710600007,08/02/2016,4.5,1.19
S33711000042,08/02/2016,3.5,0.92
S33711000043,08/02/2016,1.5,0.4
S33711500025,08/02/2016,1.5,0.4
S33711500028,08/02/2016,1.5,0.4
S33711500032,08/02/2016,1.2,0.32
S33711700095,08/02/2016,0.5,0.13
S33711700096,08/02/2016,1.5,0.4
S33711700097,08/02/2016,0.6,0.16
S33711700098,08/02/2016,1.5,0.4
S33711700099,08/02/2016,4.5,1.19
S33711700100,08/02/2016,0.5,0.13
S33711700101,08/02/2016,2.25,0.59
S33711700102,08/02/2016,0.75,0.2
S33711700103,08/02/2016,3,0.79
S33711700104,08/02/2016,1.5,0.4
S33711700105,08/02/2016,0.75,0.2
S33711700106,08/02/2016,1.5,0.4
S33711700107,08/02/2016,1.5,0.4
S33711700108,08/02/2016,1.5,0.4
S33711700109,08/02/2016,0.5,0.13
S33711700110,08/02/2016,1.5,0.4
S33711700111,08/02/2016,0.5,0.13
S33711700114,08/02/2016,1.5,0.4
S33711700115,08/02/2016,1.5,0.4
S33711700116,08/02/2016,12,3.17
S33711700120,08/02/2016,2,0.53
S33711700168,08/02/2016,1.5,0.4
S33711700172,08/02/2016,9,2.38
S33711700177,08/02/2016,0.5,0.13
S33711700178,08/02/2016,6,1.59
S33711700184,08/02/2016,9,2.38
S33711700188,08/02/2016,9,2.38
S33711700191,08/02/2016,4.5,1.19
S33711700192,08/02/2016,4.5,1.19
S33712200005,08/02/2016,9,2.38
S33712200012,08/02/2016,1.5,0.4
S33713300045,08/02/2016,0.75,0.2
S33713300046,08/02/2016,0.6,0.16
S33713300047,08/02/2016,1.5,0.4
S33713300048,08/02/2016,2.25,0.59
S33713300049,08/02/2016,0.38,0.1
S33713300053,08/02/2016,2.25,0.59
S33713300061,08/02/2016,1.5,0.4
S33713300062,08/02/2016,0.38,0.1
S33713300075,08/02/2016,0.6,0.16
S33713400015,08/02/2016,0.75,0.2
S33713400016,08/02/2016,0.75,0.2
S33713400017,08/02/2016,0.75,0.2
S33713400023,08/02/2016,0.75,0.2
S33713700014,08/02/2016,0.75,0.2
S33713700015,08/02/2016,0.75,0.2
S33713700016,08/02/2016,1.5,0.4
S33714000001,08/02/2016,9,2.38
S33714000012,08/02/2016,12,3.17
S33714000018,08/02/2016,12,3.17
S33714000025,08/02/2016,1.5,0.4
S33714000026,08/02/2016,2,0.53
S33714000027,08/02/2016,3.75,0.99
S33714000028,08/02/2016,1.5,0.4
S33714000065,08/02/2016,12,3.17
S33714000067,08/02/2016,10.5,2.77
S33714100001,08/02/2016,73.5,19.42
S33714100002,08/02/2016,108,28.53
S33714100003,08/02/2016,18,4.76
S33714100004,08/02/2016,18,4.76
S33714100005,08/02/2016,18,4.76
S33715400009,08/03/2016,9,2.38
S33715400011,08/03/2016,4.8,1.27
S33715400012,08/03/2016,9,2.38
S33715400013,08/03/2016,9,2.38
S33715400019,08/03/2016,9,2.38
S33715400021,08/03/2016,4.8,1.27
S33715400027,08/03/2016,2.25,0.59
S33715400028,08/03/2016,1.5,0.4
S33715400029,08/03/2016,1.5,0.4
S33715400030,08/03/2016,2.25,0.59
S33715400040,08/03/2016,1,0.26
S33718300012,08/03/2016,9,2.38
S33718300025,08/03/2016,9,2.38
S33718300026,08/03/2016,9,2.38
S33718300028,08/03/2016,10.5,2.77
S33718300036,08/03/2016,9,2.38
S33718300040,08/03/2016,9,2.38
S33718300051,08/03/2016,12,3.17
S33723300012,08/09/2016,0.5,0.13
S33723900002,08/03/2016,3,0.79
S33723900019,08/03/2016,0.5,0.13
S33723900037,08/03/2016,0.75,0.2
S33727400016,08/03/2016,4.5,1.19
S33727400019,08/03/2016,10.5,2.77
S33727400020,08/03/2016,9,2.38
S33727400025,08/03/2016,12,3.17
S33727400026,08/03/2016,9,2.38
S33727400061,08/03/2016,9,2.38
S33727400062,08/03/2016,10.5,2.77
S33727400063,08/03/2016,9,2.38
S33727400064,08/03/2016,9,2.38
S33727400066,08/03/2016,9,2.38
S33727400083,08/03/2016,2.25,0.59
S33727400086,08/03/2016,2.25,0.59
S33727400087,08/03/2016,4.5,1.19
S33727400088,08/03/2016,4.5,1.19
S33727400103,08/03/2016,0.5,0.13
S33727400104,08/03/2016,0.5,0.13
S33727400105,08/03/2016,0.75,0.2
S33728700032,08/03/2016,1.5,0.4
S33728700033,08/03/2016,1.5,0.4
S33728700034,08/03/2016,2.25,0.59
S33728700035,08/03/2016,9,2.38
S33728700039,08/03/2016,3,0.79
S33728700055,08/03/2016,2.25,0.59
S33728700056,08/03/2016,2.25,0.59
S33730200022,08/03/2016,9,2.38
S33730200024,08/03/2016,10.5,2.77
S33730200032,08/03/2016,9,2.38
S33730200033,08/03/2016,9,2.38
S33730200038,08/03/2016,3,0.79
S33730200045,08/03/2016,1.5,0.4
S33730800001,08/03/2016,9.6,2.54
S33730800011,08/03/2016,1.5,0.4
S33730800012,08/03/2016,1.75,0.46
S33730800013,08/03/2016,2.25,0.59
S33730800022,08/03/2016,2.25,0.59
S33730800024,08/03/2016,1.5,0.4
S33730800030,08/03/2016,2.25,0.59
S33730800033,08/03/2016,0.75,0.2
S33730800035,08/03/2016,3,0.79
S33730800054,08/03/2016,9,2.38
S33730800061,08/03/2016,6,1.59
S33730800072,08/03/2016,0.8,0.21
S33730800092,08/03/2016,1,0.26
S33731100004,08/03/2016,4.5,1.19
S33731100005,08/03/2016,4.5,1.19
S33731100006,08/03/2016,4.5,1.19
S33731100007,08/03/2016,2.25,0.59
S33731100008,08/03/2016,2.25,0.59
S33731700001,08/03/2016,6,1.59
S33731700002,08/03/2016,4.5,1.19
S33731700003,08/03/2016,18,4.76
S33731700004,08/03/2016,9,2.38
S33731700017,08/03/2016,9,2.38
S33731900014,08/03/2016,7,1.85
S33731900025,08/03/2016,3,0.79
S33731900026,08/03/2016,2.25,0.59
S33731900057,08/03/2016,1,0.26
S33731900058,08/03/2016,2.25,0.59
S33731900059,08/03/2016,2.25,0.59
S33731900060,08/03/2016,2.25,0.59
S33731900072,08/03/2016,3.75,0.99
S33731900076,08/03/2016,3,0.79
S33732000026,08/03/2016,3,0.79
S33732400010,08/03/2016,4.5,1.19
S33732400021,08/03/2016,0.75,0.2
S33732400026,08/03/2016,0.5,0.13
S33733500016,08/03/2016,36,9.51
S33733500045,08/03/2016,12,3.17
S33733500047,08/03/2016,24,6.34
S33733500048,08/03/2016,6,1.59
S33733500069,08/03/2016,120,31.7
S33733500073,08/03/2016,6,1.59
S33733500093,08/03/2016,3,0.79
S33733500094,08/03/2016,4.5,1.19
S33733500095,08/03/2016,4.5,1.19
S33733500099,08/03/2016,1.5,0.4
S33733500100,08/03/2016,12,3.17
S33733500119,08/03/2016,1.5,0.4
S33733500125,08/03/2016,3,0.79
S33733500126,08/03/2016,4.5,1.19
S33733500127,08/03/2016,2.25,0.59
S33733500128,08/03/2016,3.75,0.99
S33733500129,08/03/2016,1.5,0.4
S33733500142,08/03/2016,9,2.38
S33733500157,08/03/2016,9,2.38
S33734600006,08/04/2016,4.5,1.19
S33734600010,08/04/2016,2.25,0.59
S33735500004,08/03/2016,9,2.38
S33736200022,08/04/2016,3,0.79
S33735900004,08/03/2016,262.5,69.35
S33735900011,08/03/2016,2.25,0.59
S33735900012,08/03/2016,3,0.79
S33735900013,08/03/2016,3,0.79
S33735900014,08/03/2016,2.25,0.59
S33735900015,08/03/2016,2.25,0.59
S33735900018,08/03/2016,9,2.38
S33735900019,08/03/2016,9,2.38
S33735900020,08/03/2016,1.75,0.46
S33735900023,08/03/2016,4.5,1.19
S33736200006,08/04/2016,9,2.38
S33737200045,08/03/2016,9,2.38
S33737200046,08/03/2016,2.25,0.59
S33737200047,08/03/2016,9,2.38
S33737200048,08/03/2016,9,2.38
S33737200051,08/03/2016,9,2.38
S33737200055,08/03/2016,2.25,0.59
S33737200068,08/03/2016,9,2.38
S33737800018,08/03/2016,1,0.26
S33738100016,08/03/2016,9,2.38
S33738100017,08/03/2016,12,3.17
S33738100043,08/03/2016,9,2.38
S33738100047,08/03/2016,10.5,2.77
S33738500004,08/03/2016,10.5,2.77
S33738500005,08/03/2016,9,2.38
